Background	Year	Meanfit	Stdfit
Bk79	2016	-0.31476480060014717	0.0010137198523489652
Bk79	2017	-0.38702509960594284	0.0010052867478202922
Bk79	2018	-0.4788718889351957	0.0007891709981189362
Bk79	2019	-0.5729204796550006	0.000855201170818489
Bk79	2020	-0.6129044197238446	0.0010532512120188927
Bei89	1968	-0.21530843329753274	0.006475570160426038
Bei89	1969	-0.23951131176848728	0.010111619204793493
Bei89	1970	-0.2897170196074111	0.04241144451464392
Bei89	1971	-0.25169379067827274	0.06566830414568914
Bei89	1972	0.21498893746230782	0.07915149629217956
Bei89	1973	0.4069163554861258	0.019531777879392025
Bei89	1974	0.3613422071008778	0.027761260237233642
Bei89	1975	0.36785279972734175	0.02983528352979267
Bei89	1976	0.40480167590970756	0.01485208672011157
Bei89	1977	0.22272061720945588	0.01567134739662014
Bei89	1978	0.2070492698128358	0.0
Bei89	1979	0.2070492698128358	0.0
Bei89	1980	0.2070492698128358	0.0
Bei89	1981	0.2070492698128358	0.0
Bei89	1982	0.1725410581773632	0.0232654315384881
Bei89	1983	0.06901642327094527	0.04364981869888706
Bei89	1984	0.0	0.0
Bei89	1985	0.0	0.0
Bei89	1986	0.0	0.0
Bei89	1987	0.0	0.0
Bei89	1988	0.04050490630169073	0.040504906301690735
Bei89	1989	0.02700327086779382	0.02700327086779382
Bei89	1990	0.10310339785884913	0.06916386189707786
Bei89	1991	0.088464954276665	0.03237308647484341
Bei89	1992	0.3268081608276038	0.04947987540423695
Bei89	1993	0.5670686882236701	1.0939352514552838e-17
Bei89	1994	0.5219368606241394	0.015406991497360956
Bei89	1995	0.07984644076431055	0.011564020020637606
Bei89	1996	0.044484242220382594	0.013082926163619557
Bei89	1997	0.043480490424562895	0.012789612812278665
Bei89	1998	0.1782875894139771	0.03599953608788683
Bei89	1999	0.14922325305804668	0.020865049495352814
Bei89	2000	0.022737574910555437	0.003447189683893317
Bei89	2001	0.02381720953590512	0.005966401876932468
Bei89	2002	0.022022097443836382	0.0028463602796422
Bei89	2003	0.02204757574567354	0.002009767532638057
Bei89	2004	0.030952361181199865	0.004139834463401549
Bei89	2005	0.02306406345868286	0.0024591336827979727
Bei89	2006	0.17727193082225043	0.013847456513941767
Bei89	2007	0.488833499793118	0.005888035485956149
Bei89	2008	0.5258898858546017	0.0024043249613275195
Bei89	2009	0.5208889146833605	0.001878199710107822
Bei89	2010	0.429282816885754	0.001303655651446847
Bei89	2011	0.42398923667554217	0.000797648598715417
Bei89	2012	0.4234802109748892	0.0007024409868661582
Bei89	2013	0.4163108889305018	0.0006140250069656803
Bei89	2014	0.41597305267197504	0.00021041330914311126
Bei89	2015	0.41609061133162073	0.00027256274649308166
Bei89	2016	0.4277528719436495	0.000828819077461193
